UniqueID,VP_Location ,Date,SurveyTime,Weather,Observer,Sheet,RecordID,Time,FieldID_Origin,Oknown,Landuse_Croptype,Sward_height,Species,Count,Disturb.Source_Code,No.Disturbers,Disturb.Response_Code,Other_movemt_activity,Destination_code,Dknown,Direction,Comments 
874,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO7,09:46,P23B,,Playing field,,DB,109,,,,,,,,"4 had landed (flight from sea ""CO2""), making the total in field now 109 [this means other birds have joined them from another area/flock - not observed] d'oh! Two broods 1:5 Juveniles amongst feeding flock in P23B"
875,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO8,10:10,P31,,Amenity grass,,DB,2,,,,,,,,Sitting
876,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO8,10:10,P31,,Amenity grass,,HG,6,,,,,,,,Juveniles
877,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO8,10:10,P31,,Amenity grass,,BH,4,,,,,,,,Sitting
878,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO9,10:17,P35,,Amenity grass,,DB,72,,,,,,,,Feeding. 27 Juveniles
879,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO9,10:17,P35,,Amenity grass,,BH,44,,,,,,,,
880,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO9,10:17,P35,,Amenity grass,,OC,1,,,,,,,,
881,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO9,10:17,P35,,Amenity grass,,HG,28,,,,,,,,
882,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,MO4,10:18,P35,Yes,Amenity grass,,DB,72,DL,1,W,,P35,Yes,,
883,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO10,10:27,P32A,,Playing field,,DB,386,,,,,,,,Feeding. 14 Juveniles
884,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,MO5,10:32,P32A,Yes,Playing field,,DB,325,W,4,f,,P32B,Yes,,Several people stopped to watch and take photos of the geese. Birds got nervous and flew over to the golf course. 61 remained in P32A
885,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,MO6,10:51,P32B,Yes,Golf course,,DB,325,S,2,f,,P32A,Yes,,"Golfers flushed the flock back to P32A. However, in the confusion of landing the flock split and took off eastward. A small number were seen landing in P31 (25 geese). Only 64 geese  remained in P32A. The rest continued heading east / north east out of sight"
885.1,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,MO6,10:51,P32A,Yes,Golf course,,DB,25,,,,,P31,Yes,,"Golfers flushed the flock back to P32A. However, in the confusion of landing the flock split and took off eastward. A small number were seen landing in P31 (25 geese). Only 64 geese  remained in P32A. The rest continued heading east / north east out of sight"
885.2,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,MO6,10:51,P32A,Yes,Golf course,,DB,236,,,,,,No,,"Golfers flushed the flock back to P32A. However, in the confusion of landing the flock split and took off eastward. A small number were seen landing in P31 (25 geese). Only 64 geese  remained in P32A. The rest continued heading east / north east out of sight"
886,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,CO11,10:10,P35,,Amenity grass,,DB,168,,,,,,,,32 Juveniles. 4 Broods
887,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,MO7,11:24,P35,Yes,Amenity grass,,DB,168,DX,1,f,,P35,Yes,,"Dog off lead ran past flock, which took off, circled and landed in similar area to original"
888,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,2,MO8,11:30,P35,Yes,Amenity grass,,DB,168,DL,1,A,,P35,Yes,,"Just alert, didn't move"
889,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,Back of 1,no ID,10:05,P29,,,,DB,0,O,1,,,,,,Groundsman on site with machinery
890,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,3,CO12,11:50,P23B,,Playing field,,DB,328,,,,,,,,Feeding. 6 Juveniles
891,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,3,MO9,12:09,North east,No,,,DB,4,,,,,P23B,Yes,,1 Juvenile (see over)
892,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,3,CO13,12:20,,,Spit,,TT,11,,,,,,,,Feeding
893,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,3,CO13,12:20,,,Spit,,RP,2,,,,,,,,Feeding
894,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,3,MO10,12:31,,No,Amenity grass / Scrub,,DB,15,,,,,P23A,Yes,,"First seen circling above Milton Common. 4 landed in the lake, 11 landed on the amenity grass by the roadside (opposite P52)."
895,Portsmouth/Portchester,27/01/2017,,"Bright and sunny start becoming cloudier as the day went on, overcast by end. Dry throughout. Moderate breeze. 'Chilly' ~7'C",Andy Rothwell,Back of 3,no ID,12:35,P23A,,,,KF,1,,,,,South,,,Towards Eastney Lake (out of sight)
896,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,CO1,12:30,,,Water,,DB,1300,,,,,,,,Pre-count reccee. DBs on water close to Hayling/Langstone shoreline
897,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,CO2,14:10,H48B,,Winter wheat,20.0,DB,43,,,,,,,,
898,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO1,14:20,H48B,Yes,Winter wheat,20.0,DB,43,,,,,,Yes,West,Birds flew west to join birds on adjacent water
899,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,CO3,14:21,,,Water,,DB,56,,,,,,,,Birds on Langstone Harbour Hayling shoreline 
900,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO2,14:23,,No,Water,,DB,99,,,,,,No,,Birds on Langstone Harbour Hayling shoreline 
901,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO3,14:30,,No,Water,,DB,320,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
902,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO4,14:36,,No,Water,,DB,50,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
903,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO5,14:41,,No,Water,,DB,36,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
904,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO6,14:47,,No,Water,,DB,150,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
905,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO7,14:51,,No,Water,,DB,21,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
906,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO8,14:55,,No,Water,,DB,140,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
907,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO9,15:10,,No,Water,,DB,18,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
908,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO10,15:20,,No,Water,,DB,35,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
909,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO11,15:21,,No,Water,,DB,80,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
910,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,MO12,15:30,,No,Water,,DB,18,,,,,,Yes,,Flocks flying to Langstone Harbour from Hayling Island
911,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,1,CO4,15:30,,,Water,,DB,967,,,,,,,,
912,Hayling Island,17/01/2017,,"Fine, clear, sunny, light wind, cold",Jim Glover and Chris Skinner,2,CO5,16:15,H46B,,,,DB,1100,,,,,,,,This was a quick visit to see if the birds Andy reported were the same as the ones we watched flying into Langstone Harbour. Obviously not!
913,Bosham and Chidham,27/01/2017,8:45-13:00,"Dry, overcast, cold, moderate SE wind",Jim Glover and Chris Skinner,1,CO1,10:15,C4D,,Winter wheat,15.0,DB,1,,,,,,,,"Very close to road, possibly injured. This was the only Brent Goose we saw on land in the whole of our area between Fishbourne and Nutbourne between 08:45 and 13:00. We counted less than 1000 Brents in Chichester Harbour spread all over. Small flocks were flying arounf much of the time. But always landed on water. Also noticeable was the fact tha all the flock avoided flying over land."
914,Bosham and Chidham,27/01/2017,8:45-13:00,"Dry, overcast, cold, moderate SE wind",Jim Glover and Chris Skinner,Map 36,no ID,,C7C,,,,DB,130,,,,,,,,
915,Bosham and Chidham,27/01/2017,8:45-13:00,"Dry, overcast, cold, moderate SE wind",Jim Glover and Chris Skinner,Map 36,no ID,,C7F,,,,DB,150,,,,,,,,
915.1,Bosham and Chidham,27/01/2017,8:45-13:00,"Dry, overcast, cold, moderate SE wind",Jim Glover and Chris Skinner,Map 36,no ID,,Bosham Channel,,Water,,DB,150,,,,,,,,
915.2,Bosham and Chidham,27/01/2017,8:45-13:00,"Dry, overcast, cold, moderate SE wind",Jim Glover and Chris Skinner,Map 36,no ID,,,,Water,,DB,250,,,,,,,,
915.3,Bosham and Chidham,27/01/2017,8:45-13:00,"Dry, overcast, cold, moderate SE wind",Jim Glover and Chris Skinner,Map 36,MOX,11:23,C7C,Yes,,,DB,140,,,,,,Yes,,7 small flocks 10-30 birds flew along this route between 11:00-11:45
916,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,CO1,12:25,H60G,,Sown grass / winter cover crop,7.5,DB,550,,,,,,,,Two main clusters with a few birds between; feeding and agnostic interactions; left flock at 13:08
917,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO1,12:30,,No,,,DB,50,,,,Arr from southeast unknown loc,H60G,Yes,,Joined CO1
918,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO2,12:50,H60G,Yes,,,DB,350,DX,1,f,Within H60G,H60G,Yes,,East cluster of CO1 join west cluster. Dog off lead but close.
919,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO3,13:00,,No,,,DB,14,,,,Arr from east unknown loc,H60G,Yes,,Joined CO1
920,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO4,13:02,,No,,,DB,30,,,,Arr from southwest unknown loc,H60G,Yes,,Joined CO1
921,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO5,13:04,,No,,,DB,30,,,,Arr from east unknown loc,H60G,Yes,,Joined CO1
922,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO6,13:07,,No,,,DB,40,,,,Arr from east unknown loc,H60G,Yes,,Joined CO1
923,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,CO2,13:15,H59E,,recently sown grass / winter crop with bare ground,3.0,DB,3,,,,,,,,Feeding
924,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO7,13:17,,No,,,DB,10,,,,Flyover from northeast ,H60G?,No,,Appeared to be landing
925,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO8,13:50,H59E,Yes,,,DB,3,W,1,f,Within H59E,H59E,Yes,,Surveyor walking past
926,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,CO3,14:05,H60G,,Sown grass / winter cover crop,7.5,DB,100,,,,,,,,Feeding 
927,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO9,14:10,,No,,,DB,20,,,,Arr from east unknown loc,H60G,Yes,,Joined CO3
928,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO10,14:14,,No,,,DB,7,,,,Arr from northeast unknown loc,H60G,Yes,,Joined CO3
929,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO11,14:23,H60G,Yes,,,DB,127,O,2,F,Flew west then south,,No,,Workmen on adjoining property dropping materials
930,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO12,14:56,,No,,,DB,3,,,,Flyover from northeast,,No,,
931,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,CO4,15:29,H60G,,Sown grass / winter cover crop,7.5,DB,450,,,,,,,,Feeding; returned to field following call from Trevor Codlin 
932,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO13,15:33,,No,,,DB,50,,,,Arr from southwest unknown loc,H60G,Yes,,Joined CO4
933,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,n/a,MO14,15:35,,No,,,DB,30,,,,Arr from west unknown loc,H60G,Yes,,Joined CO4
934,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H60B,,,,DB,0,,,,,,,,
935,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H60J,,,,DB,0,,,,,,,,
936,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H63,,,,DB,0,,,,,,,,
937,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H65,,,,DB,0,,,,,,,,
938,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H59A,,,,DB,0,,,,,,,,
939,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H94,,,,DB,0,,,,,,,,
940,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H59B,,,,DB,0,,,,,,,,
941,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H59D,,,,DB,0,,,,,,,,
942,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H59C,,,,DB,0,,,,,,,,
943,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H60F,,,,DB,0,,,,,,,,
944,Hayling Island,01/02/2017,,"Generally overcast and cool, with gentle to moderate breeze, and only short spells of sun through the clouds in the first 1.5 hrs; heavy mist from about 13:30-14:$5, with visibility <50m",Ben Rushbrook,Map 28,no ID,,H60E,,,,DB,0,,,,,,,,
945,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,CO1,12:00,P12,,Golf course,,DB,103,S,3,NR,,,,,Feeding around golfers
946,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,MO1,12:06,,No,,,DB,4,,,,,P12,Yes,,Flew in from the east (Sea)
947,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,MO2,12:13,P12,Yes,Golf course,,DB,27,S,3,F,,P12,Yes,,"Second ""large"" flock spotted in northwestern part of golf course. Small number of geese flushed by golfers joined initial group ""CO1"""
948,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,MO3,12:15,P12,Yes,Golf course,,DB,117,S,2,F,,P54?,No,,"Two golfers split the flock - birds took flight southwards - low flight presumed to land nearby, probably P54? (as not in P19C). Went out of sight. 17 birds remained (for now?.)"
949,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,MO4,12:18,P12,Yes,Golf course,,DB,17,S,2,F,,,Yes,East,to sea
950,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,CO2,12:45,P12,Yes,Golf course,,DB,134,,,,,,,,17 Juveniles
951,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,CO3,13:25,,,Water,,DB,36,,,,,,,,Preening/chatting
952,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,CO4,13:25,P23B,,Playing field,,DB,57,,,,,,,,Feeding
953,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,CO4,13:25,P23B,,Playing field,,OC,12,,,,,,,,Feeding
954,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,CO4,13:25,P23B,,Playing field,,BH,26,,,,,,,,Feeding
955,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,CO3,13:25,,,Water,,RM,8,,,,,,,,"3 males, 5 females (2 groups)"
956,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,CO3,13:25,,,Water,,GG,1,,,,,,,,
957,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,MO5,13:32,,Yes,Water,,DB,14,,,,,P23B,Yes,,"No disturbance, just joined the group in field."
958,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,MO6,13:40,,Yes,Water,,DB,22,,,,,P23B,Yes,,"No disturbance, just took off. Small group of 12 went southward out of sight, rest joined in with the group at P23B."
958.1,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,MO6,13:40,,Yes,Water,,DB,12,,,,,,No,South,"No disturbance, just took off. Small group of 12 went southward out of sight, rest joined in with the group at P23B."
959,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,1,CO5,14:08,,,Amenity grass,,DB,220,,,,,,,,24 Juveniles
960,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,Back of 1,no ID,11:52,P55,,,,DB,0,,,,,,,,
961,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,Back of 1,no ID,11:55,P11,,,,DB,0,,,,,,,,
962,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,Back of 1,no ID,13:10,P52,,,,DB,0,,,,,,,,
963,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,Back of 1,no ID,12:25,P19,,,,DB,0,,,,,,,,
964,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,Back of 1,no ID,14:04,P32,,,,DB,0,,,,,,,,
965,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,Back of 1,no ID,14:04,P29,,,,DB,0,,,,,,,,
966,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,Back of 1,no ID,13:20,P25,,,,DB,0,,,,,,,,
967,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,2,MO7,14:10,P35,Yes,Amenity grass,,DB,17,DX,1,F,,,No,East,Dog off lead spooked flock. Only 28 took off. 17 headed eastward out of sight (Possibly heading to P23B?); 21 returned to main flock.
968,Portsmouth/Portchester,01/02/2017,,"Overcast, misty start. Brief clearing and sunny spell in afternoon. Returning to overcast (thick sea mist). Dry light to moderate ~9'C.",Andy Rothwell,2,CO6,14:45,P54,,Amenity / Brent reserve,,DB,1000,,,,,,,,Feeding. 23 Juveniles
